line,Y1,Y2,Y3,Y4,Y5
revenue,530.0,556.5,578.76,601.91,619.97
ebitda_adj,116.6,122.43,127.33,132.42,136.39
da,18.55,19.48,20.26,21.07,21.7
ebit,98.05,102.95,107.07,111.35,114.69
maint_capex,15.9,16.7,17.36,18.06,18.6
growth_capex,0.0,0.0,0.0,0.0,0.0
delta_nwc,2.4,2.12,1.78,1.85,1.44
fcf_pre_debt,82.22,85.6,87.31,91.75,92.27
tax.ati,116.6,122.43,127.33,132.42,136.39
tax.capped_interest_pool,32.34,29.52,22.53,19.06,14.73
tax.uncapped_deductions,1.38,1.38,1.02,9.24,3.65
tax.deductible_capped_interest,32.34,29.52,22.53,19.06,14.73
tax.s163j_carryforward_end,0.0,0.0,0.0,0.0,0.0
tax.taxable_before_nol,64.33,72.04,83.51,83.05,96.31
tax.acquired_nol_used,0.0,0.0,0.0,0.0,0.0
tax.postclose_nol_used,0.0,0.0,0.0,0.0,0.0
tax.nol_banked,0.0,0.0,0.0,0.0,0.0
tax.cash_tax,16.08,18.01,20.88,20.76,24.08
TLB.beginning_balance,440.0,401.7,350.27,295.61,227.42
TLB.cash_interest,32.34,29.52,22.24,18.77,14.44
TLB.pik_accrual,0.0,0.0,0.0,0.0,0.0
TLB.mandatory_amort,4.4,4.4,3.5,3.5,3.5
TLB.sweep_repayment,33.9,47.03,51.15,64.69,71.71
TLB.ending_balance,401.7,350.27,295.61,227.42,152.21
TLB.refinanced,False,False,True,False,False
TLB.refinancing_cash_cost,0.0,0.0,8.76,0.0,0.0
TLB.unamortized_writeoff,0.0,0.0,4.71,0.0,0.0
revolver.beginning_drawn,0.0,0.0,0.0,0.0,0.0
revolver.cash_interest,0.0,0.0,0.0,0.0,0.0
revolver.commitment_fee,0.28,0.28,0.28,0.28,0.28
revolver.repayment,0.0,0.0,0.0,0.0,0.0
revolver.draw,0.0,0.0,0.0,0.0,0.0
revolver.ending_drawn,0.0,0.0,0.0,0.0,0.0
wf.opening_cash,10.0,21.3,25.68,27.05,31.56
wf.sweep_pool,45.2,62.7,68.21,86.25,95.62
wf.sweep_applied_total,33.9,47.03,51.15,64.69,71.71
wf.closing_cash,21.3,25.68,27.05,31.56,33.9
wf.distribution_requested,0.0,0.0,0.0,0.0,0.0
wf.rp_max,,,,,
wf.distribution_paid,0.0,0.0,0.0,0.0,0.0
wf.distribution_blocked,False,False,False,False,False
returns.dpi,0.0,0.0,0.0,0.0,0.0
